date,module,contributor,complexity,issues,coverage,issue_type
2025-01-01,module3,Alice,13.592962448087619,77,64.72429382105334,Performance
2025-01-01,module3,Bob,11.766428623383792,89,79.3014215563339,Performance
2025-01-01,module3,Charlie,13.733643308532615,128,71.1866875681498,Bug
2025-02-01,module3,Alice,8.518477120509225,110,89.38966413725316,Maintainability
2025-02-01,module3,Bob,10.198489750872268,70,83.36238043223454,Maintainability
2025-02-01,module3,Charlie,12.108173065069266,104,88.91849712585572,Maintainability
2025-03-01,module3,Alice,6.964750668790714,103,87.79278534418431,Maintainability
2025-03-01,module3,Bob,14.28454468052292,86,61.939069567373984,Maintainability
2025-03-01,module3,Charlie,8.615702394104357,147,83.16736549766541,Maintainability
2025-04-01,module3,Alice,5.430777306902634,149,78.46103060420202,Maintainability
2025-04-01,module3,Bob,9.461951030582766,101,60.24240256498312,Bug
2025-04-01,module3,Charlie,5.636398546793507,147,71.41803649487822,Bug
2025-05-01,module3,Alice,8.721634216835877,111,73.20815220499743,Maintainability
2025-05-01,module3,Bob,12.083481831928498,135,62.23048082391852,Performance
2025-05-01,module3,Charlie,12.160682542182164,130,64.8015132342805,Bug
2025-06-01,module3,Alice,9.559462156529676,73,80.81491645972687,Maintainability
2025-06-01,module3,Bob,7.906012722479235,58,62.950710026354514,Maintainability
2025-06-01,module3,Charlie,12.580989589043954,144,89.85129256469878,Maintainability
2025-07-01,module3,Alice,10.181399840073295,67,80.45811816065208,Bug
2025-07-01,module3,Bob,10.68134306084282,90,75.84833888754822,Performance
2025-07-01,module3,Charlie,14.726336049743225,143,83.91250709541606,Maintainability
2025-08-01,module3,Alice,13.101060287308238,114,62.99497719567808,Maintainability
2025-08-01,module3,Bob,10.931805928632151,124,81.25970290082262,Maintainability
2025-08-01,module3,Charlie,11.058716308025062,95,82.92404915912768,Maintainability
2025-09-01,module3,Alice,10.967292427168081,114,86.84712069309879,Maintainability
2025-09-01,module3,Bob,12.191085087444822,131,64.28482893170484,Performance
2025-09-01,module3,Charlie,12.456098377074467,117,85.35190650833725,Performance
2025-10-01,module3,Alice,10.406573420312231,129,62.40528661155061,Bug
2025-10-01,module3,Bob,8.853197209141344,143,72.48027125450321,Performance
2025-10-01,module3,Charlie,14.855693405847349,96,87.89164263591196,Maintainability
2025-11-01,module3,Alice,7.736444220324126,95,85.76904918492322,Bug
2025-11-01,module3,Bob,10.437019502407386,60,86.69094544826879,Performance
2025-11-01,module3,Charlie,12.44578552607907,85,64.27121125821473,Maintainability
2025-12-01,module3,Alice,14.701472614102176,58,72.16332194173461,Maintainability
2025-12-01,module3,Bob,11.39909161480093,81,73.11117802047076,Performance
2025-12-01,module3,Charlie,12.83407819108656,128,62.33179597919079,Maintainability
